LOC_ID  FICT_METER_NO      Description
RA-79   RAN_BUS_2      RANCHI 220 KV BUS
DG-79   DGC_BUS_2      DAGACHU 220 KV BUS  
RG-79   RGP_BUS_2      RANGPO 220 KV BUS
MZ-79   MZF_BUS_2      MUZAFFARPUR 220 KV BUS   
PS-79   PSL_BUS_2      PUSUALI 220 KV BUS
CB-79   CHB_BUS_2      CHAIBASA 220 KV BUS
BL-79   BLR_BUS_2      BOLANGIR 220 KV BUS
JE-79   JEY_BUS_2      JEYPORE 220 KV BUS    
KS-79   KSN_BUS_2      KISHANGANJ 220 KV BUS
AL-79   ALPR_BUS_2     ALIPURDUAR 220 KV BUS  
DB-79   DBG_BUS_2      DARBHANGA 220 KV BUS
PB-79   PBL_BUS_2      PANDIABILI 220 KV BUS 
KE-79   KJR_BUS_2      KEONJHAR 220 KV BUS
RJ-79   RJRT_BUS_2     RAJARHAT 220 KV BUS
SL-80   SLG_BUS_1      SILIGURI 132 KV BUS
BP-80   BPD_BUS_1      BARIPADA 132 KV BUS
RG-80   RGP_BUS_1      RANGPO 132 KV BUS
LK-80   LKS_BUS_1      LAKHISARAI 132 KV BUS
BN-80   BNK_BUS_1      BANKA 132 KV BUS
GT-80   GTK_BUS_1      GANGTOK 132 KV BUS
AR-80   ARA_BUS_1      ARA 132 KV BUS
MO-80   MOT_BUS_1      MOTIHARI 132 KV BUS
BA-80   BRP_BUS_1      BIRPARA 132 KV BUS
ML-80   MLD_BUS_1      MALDA 132 KV BUS
DL-80   DLT_BUS_1      DALTONGANJ 132 KV BUS
PR-80   PRN_BUS_1      PURNEA 132 KV BUS
RT-80   RGT_BUS_1      RANGIT 132 KV BUS
BM-99   BM-99          BM-99
-----------------------------------------------------------------

