LOC_ID	METER NO.    CTR     PTR	     PLACE OF INSTALLATION
TH-06   LT-0217-A    2000    3636.3636    400 KV TALA(BHUTAN)-MALBASE(MAIN)    
BT-33   NP-5096-A    800     2000.0000    220 KV MALBASE-CHUKHA
BT-34   NP-5097-A    800     2000.0000    220 KV MALBASE-SINGIGAON-1
BT-35   NP-5099-A    800     2000.0000    220 KV MALBASE-SINGIGAON-2
BT-36   NP-5098-A    800     2000.0000    220 KV SIDE OF MALBASE ICT
BT-37   NP-5095-A    1000    3636.3636    400 KV SIDE OF MALBASE ICT
BT-38   NP-5100-A    1000    3636.3636    400 KV MALBASE-TALA
BT-39   ER-2121-A    2000    3636.3636    400 KV MALBASE-BINAGURI(PG)
BT-40   ER-2011-A    800     2000.0000    220 KV MALBASE-BIRPARA(PG)
BT-41   NP-8702-A    600     2200.0000    220 KV DAGACHU- TSIRANG (MAIN)
BT-42   NP-8703-A    600     2200.0000    220 KV DAGACHU- TSIRANG(CHECK)
BT-43   LT-0203-A    200     2200.0000    220 KV SIDE OF DAGACHU GT-1
BT-44   LT-0204-A    200     2200.0000    220 KV SIDE OF DAGACHU GT-2
BT-45   LT-0205-A    200     2200.0000    220 KV SIDE OD DAGACHU STN TRF
MN-01   NP-9792-A    1000    3636.3636    400 KV MANGDECHHU - JIGMELING-1
MN-02   NP-9794-A    1000    3636.3636    400 KV MANGDECHHU - JIGMELING-2
MN-03   NP-9796-A    1000    3636.3636    400 KV MANGDECHHU - JIGMELING-3
MN-04   NP-9798-A    1000    3636.3636    400 KV MANGDECHHU - JIGMELING-4
MN-05   NP-9800-A    1000    3636.3636    400 KV SIDE OF 400/132KV ICT AT MANGDECHHU
MN-06   NP-9787-A    1000    3636.3636    400 KV SIDE OF MANGDECHHU GT-1
MN-07   NP-9788-A    1000    3636.3636    400 KV SIDE OF MANGDECHHU GT-2
MN-08   NP-9789-A    1000    3636.3636    400 KV SIDE OF MANGDECHHU GT-3
MN-09   NP-9790-A    1000    3636.3636    400 KV SIDE OF MANGDECHHU GT-4
MN-10   NP-9791-A    1000    3636.3636    400 KV 
MN-11   NP-9793-A    1000    3636.3636    400 KV
MN-12   NP-9795-A    1000    3636.3636    400 KV
