MASTER.DAT for the date 2018-01-01 to  2018-01-14
----------------------------------------------------

Loc_Id    Meter_No         CTR            PTR                    Place Of Installation
BT-34     NP-5097-A        800            2000.0000              220 KV MALBASE-SINGIGAON-1

BT-35     NP-5099-A        800            2000.0000              220 KV MALBASE-SINGIGAON-2

BT-36     NP-5098-A        800            2000.0000              220 KV SIDE OF MALBASE ICT

BT-37     NP-5095-A        1000           3636.3636              400 KV SIDE OF MALBASE ICT

BT-38     NP-5100-A        1000           3636.3636              400 KV MALBASE-TALA

BT-39     NP-5869-A        1000           3636.3636              400 KV MALBASE-BINAGURI

BT-40     NP-5867-A        800            2000.0000              220 KV MALBASE-BIRPARA

BT-41     NP-8702-A        600            2200.0000              220 KV DAGACHU- TSIRANG (MAIN)

BT-42     NP-8703-A        600            2200.0000              220 KV DAGACHU- TSIRANG(CHECK)

BT-43     LT-0203-A        200            2200.0000              220 KV SIDE OF DAGACHU GT-1

BT-44     LT-0204-A        200            2200.0000              220 KV SIDE OF DAGACHU GT-2

BT-45     LT-0205-A        200            2200.0000              220 KV SIDE OD DAGACHU STN TRF

RG-01     NP-5919-A        150            1200.0000              132 KV SIDE OF RANGIT GEN.TRANS.- 1

RG-02     NP-5920-A        150            1200.0000              132 KV SIDE OF RANGIT GEN.TRANS.- 2

RG-03     NP-5921-A        150            1200.0000              132 KV SIDE OF RANGIT GEN.TRANS.- 3

RG-04     NP-6503-A        300            1200.0000              132 KV RANGIT (NHPC) - KURSEONG(WBSETCL)(MAIN)

RG-06     NP-6504-A        300            1200.0000              132 KV RANGIT (NHPC) - RAMMAM (WBSETCL) (MAIN)

RG-07     NP-5926-A        200            600.0000               66 KV RANGIT (NHPC) - RAVANGLA (SIKKIM) (MAIN)

RG-08     NP-5918-A        100            600.0000               66 KV SIDE OF RANGIT 66KV/11 KV TRANS

RG-10     NP-5925-A        300            1200.0000              132 KV RANGIT (NHPC) - SAGBARI (SIKKIM) (MAIN)

RG-11     NP-6506-A        300            1200.0000              132 KV RANGIT (NHPC) - RANGPO (PG) (MAIN)

RG-12     NP-8734-A        300            1200.0000              132 KV RANGIT (NHPC) - KURSEONG(WBSETCL)(CHECK)

RG-13     NP-8733-A        300            1200.0000              132 KV RANGIT (NHPC) - RAMMAM (WBSETCL) (CHECK)

RG-14     NP-8732-A        200            600.0000               66 KV RANGIT (NHPC) - RAVANGLA (SIKKIM) (CHECK)

RG-15     NP-8736-A        300            1200.0000              132 KV RANGIT (NHPC) - SAGBARI (SIKKIM) (CHECK)

RG-16     NP-8735-A        300            1200.0000              132 KV RANGIT (NHPC) - RANGPO (PG) (CHECK)

TS-01     NP-5899-A        350            3636.3636              400 KV SIDE OF TEESTA GT-1

TS-02     NP-5900-A        350            3636.3636              400 KV SIDE OF TEESTA GT-2

TS-03     NP-5901-A        350            3636.3636              400 KV SIDE OF TEESTA GT-3

TS-05     NP-8716-A        1000           3636.3636              400 KV TEESTA-RANGPO-1 (MAIN)

TS-06     NP-5898-A        1000           3636.3636              400 KV TEESTA-RANGPO-2 (MAIN)

